Ten,Gia ban,Nhom,So lg.,Ma vach,Gia nhap,DpH,
|Akce !!LIMITED EDITION 16  0.75l,399,01 -- Alkohol - Pivo - Víno,0,8008863058710,,,
|Polaretti vodove zmrzliny 400ml,49.9,13 -- Potraviny,0,8002267002188,,,
|Polaretti vodove zmrzliny 400ml,49.9,13 -- Potraviny,0,8002267002270,,,
00% jablecny most 0.75l,64.9,13 -- Potraviny,-6,8594026771416,,,
02 KARTY,250,13 -- Potraviny,0,0135799778,0,,
049000014266,34.9,09 -- Napoje,-151,8594001020041,19.04,,
0bento inst nudle pikantni 240g,74.9,13 -- Potraviny,-10,9310432004592,,,
0dol zubni pasta 75ml,39.9,04 -- Drogerie,-11,8590335012721,,,
0ld spice gel + sampon 250ml,79.9,04 -- Drogerie,-5,8001841324937,,,
0yakata miso ramen 66g,39.9,13 -- Potraviny,-7,5901384503758,,,
1 Creativa Trung Nguyen Kava 250g,119,13 -- Potraviny,-4,8935024142011,,,
1.2.3,37.9,13 -- Potraviny,0,8710438104370,0,,
1/2 Chleb 600g,23.9,12 -- Pecivo,-2458,04,0,,
1/2 Chleb klad.klas 0.55kg,18.9,13 -- Potraviny,0,4,0,,
1/2 Chleb Madarsky 0.4kg,29.9,13 -- Potraviny,-2700,7,0,,
1/2 kvaskovy chleb 700g,13.9,03 -- Domaci potreby - Elektro,0,4a,0,,
1/4 chleb 300g,13.9,12 -- Pecivo,-403,08,,12,
15 giana sardinky 125g,39.9,13 -- Potraviny,-2,8595241510941,0,12,
1906 vodka 0.5l,149,01 -- Alkohol - Pivo - Víno,0,5902573005305,,,
1965 Zmrznina 70g,24.9,13 -- Potraviny,-14,4820005927326,,,
1974    0.75l,439,01 -- Alkohol - Pivo - Víno,-2,8053830773707,,,
1Buchta 180g,32.9,13 -- Potraviny,0,3800093511196,,,
1Cottage bez príchutí 200g,36.9,13 -- Potraviny,0,8593803311814,0,,
2,35.9,13 -- Potraviny,0,2801181001255,0,,
2,35.9,13 -- Potraviny,0,2801183001130,0,,
20 Radler Grapefruit 0.5l,22.9,13 -- Potraviny,0,5900535012972,,,
20 Radler lemon 0.5l,22.9,13 -- Potraviny,0,5900535005066,,,
20012274,119,01 -- Alkohol - Pivo - Víno,0,8594044830911,0,,
2k gumicky na vlasy,44.9,04 -- Drogerie,0,4250979342076,,,
2k gumicky na vlasy,44.9,04 -- Drogerie,0,4250979342090,,,
3 bit 46g,14.9,13 -- Potraviny,0,7622201692568,,,
3 Bit 46g,14.9,13 -- Potraviny,0,7622201692513,,,
3 Bit big 51g,12.9,13 -- Potraviny,0,7622300315191,0,,
3059943016569,44.9,04 -- Drogerie,0,5701092106681,0,21,
31 LINE 0.75l,249,01 -- Alkohol - Pivo - Víno,-14,8002006950008,,,
31 line presecco 0.75l,249,01 -- Alkohol - Pivo - Víno,-28,8002006950022,,,
32.90 Lays stix kecup 160g,32.9,13 -- Potraviny,0,5900259020031,0,,
3800020403686,10.9,13 -- Potraviny,-367,40084077,0,,
3BIT 41g,10.9,13 -- Potraviny,0,7622300279448,0,12,
3bit 46g,13.9,14 -- Sladkosti,0,7622210416124,8.5,,
3bit 46g,15.9,14 -- Sladkosti,-126,7622210416100,8.5,,
3bit 46g,15.9,14 -- Sladkosti,-298,7622210416407,,,
3Bit 46g,12.9,14 -- Sladkosti,0,7622210416414,,,
3Bit Hot Edition,9.9,13 -- Potraviny,0,7622300357474,0,,
3BIT intenssimo 40g,10.9,13 -- Potraviny,0,7622300178482,0,,
3Bit Nut XXL 51g,11.9,13 -- Potraviny,0,7622300406202,0,,
3Bit oriskovy 51g,12.9,13 -- Potraviny,0,7622300279486,8.6,,
3fuet stick 150g,79.9,13 -- Potraviny,-4,8411814206076,0,,
4 bagety k dopecení,34.9,13 -- Potraviny,0,4012263009887,0,,
4 rolls toalet paper,24.9,04 -- Drogerie,0,5944525002154,0,,
4 season hair mousse 225ml,45,04 -- Drogerie,0,5901815001617,45,,
4+8594015391229,16.9,13 -- Potraviny,0,20536688,0,,
4001686727652,34.9,13 -- Potraviny,0,4001686727652,,,
4012922832474,75,02 -- Cigarety - Tabak - Mobil,0,4012922832474,0,,
4014500513928,14.9,13 -- Potraviny,0,8595002106901,0,,
4015400439110,44.9,04 -- Drogerie,0,4015400439110,0,21,
4250370566057,69.9,13 -- Potraviny,-9,4250370566057,,,
4311501623367,29.9,09 -- Napoje,0,4311501623367,,,
4move 750ml,29.9,13 -- Potraviny,-6,5900552057383,,,
4move 750ml,29.9,13 -- Potraviny,-3,5900552057413,,,
4move 750ml,29.9,15 -- Textil,-5,5900552077237,,,
5,11.9,13 -- Potraviny,-2,13,0,,
5 Turbuluence zvykacka 31g,29.9,13 -- Potraviny,0,42182115,0,,
5 Turbuluence zvykacka 31g,29.9,13 -- Potraviny,0,42188889,15,,
5060517884598,34.9,13 -- Potraviny,0,5060517884598,,,
50KS SACKY MIKROTENOVE 30X50,34.9,04 -- Drogerie,-8,5201314991533,,,
5900130031446,32.9,13 -- Potraviny,-70,5900130031446,,,
5906927120782,49.9,04 -- Drogerie,-2,5906927120782,0,,
5907769012945,36.9,13 -- Potraviny,-11,5907769000232,,,
6 bagety 300g,34.9,13 -- Potraviny,0,4012263009894,0,,
6 Wraps 370g,32.9,13 -- Potraviny,0,5412514350000,0,,
66 ROUTE,82,02 -- Cigarety - Tabak - Mobil,0,4030600125380,0,,
69 ENERGY 0.5l Akce!!,19.9,13 -- Potraviny,0,8594063860074,,,
69 energy 500ml,29.9,09 -- Napoje,0,8594063860210,,,
69 Green tea 0.5l Akce !!,19.9,13 -- Potraviny,0,8594063860135,,,
6939287919368,159,02 -- Cigarety - Tabak - Mobil,0,6939287919443,,,
7 Day 110g,27.9,13 -- Potraviny,-137,5201360531936,,,
7 day 50g,17.9,13 -- Potraviny,0,5201360640041,0,,
7 day 80g,17.9,03 -- Domaci potreby - Elektro,0,5201360640249,0,21,
7 Day Double Super max 110g,27.9,13 -- Potraviny,-125,5201360532506,,,
7 DAY mini biscuits 100g,28.9,13 -- Potraviny,0,5201360711116,,12,
7 day super max 110g,27.9,13 -- Potraviny,-95,5201360531172,,,
7 up,25.9,13 -- Potraviny,0,8594008040035,0,,
7 up 2.25l,35.9,09 -- Napoje,0,8594008040226,0,,
7350115291798,129,02 -- Cigarety - Tabak - Mobil,-57,7350049926452,,,
77 xl kakao,16.9,13 -- Potraviny,0,8681863042141,,,
7day 110g,27.9,15 -- Textil,-37,7622202010118,,,
7day vanilla  and  pomeranc 60g,16.9,13 -- Potraviny,0,5201360522828,0,,
7days 10 ultratenke super,19.9,04 -- Drogerie,0,8595217100107,0,,
7days 110g,27.9,13 -- Potraviny,-69,7622201391690,,,
7Days 110g,27.9,13 -- Potraviny,-54,5201360531929,,,
7Days 110g,27.9,13 -- Potraviny,-65,5201360531141,,,
7Days 60g,16.9,13 -- Potraviny,-17,5201360531318,,,
7DAYS 60g,11.9,13 -- Potraviny,0,5201360528684,0,,
7days 80g,24.9,13 -- Potraviny,-30,7622201389420,,,
7days 80g,24.9,13 -- Potraviny,-21,7622202010019,,,
7days borseto,11.9,13 -- Potraviny,0,5201360528882,0,,
7days borseto 60g,11.9,13 -- Potraviny,0,5201360528288,0,,
7days borseto 60g,11.9,13 -- Potraviny,0,5201360528486,0,,
7days cake bar kakao 32g,9.9,13 -- Potraviny,0,5201360790081,0,,
7days cake bar vanil+kakao 32g,9.9,14 -- Sladkosti,0,5201360795345,0,,
7Days Cocoa Cake Bar,5.9,13 -- Potraviny,0,5201360790043,0,,
7Days Cocoa Wiss Roll 200g,24.9,13 -- Potraviny,0,5201360750115,0,,
7days croissant double 60g,16.9,12 -- Pecivo,-96,5201360552412,0,,
7days double coconut 60g,16.9,13 -- Potraviny,-70,5201360523924,7.48,12,
7days mini biscuits cocoa cream 100g,28.9,13 -- Potraviny,0,5201360711017,,12,
7days ultratenke hygienic. vlozky 10ks,24,04 -- Drogerie,0,8595217100121,14,,
7DAYS60g,10.9,13 -- Potraviny,0,201360528288,0,,
7ja Mražené houby Opjata 500g,149,13 -- Potraviny,-5,4260007246290,,,
7ja tasticky 400g,69.9,13 -- Potraviny,-9,4260428463634,,,
